-5,-4,0,24,25,-10,-5,-3,0,0,-4,10,7,3,2,1
3,5,2,-13,52,20,3,1,-3,-9,-8,-95,-39,-15,-6,-4
1,-1,-3,-9,0,-3,2,2,4,6,9,127,-33,9,1,3
-2,-6,-3,-6,2,-3,0,-1,1,3,0,-15,-47,-7,2,2
0,15,40,62,48,8,3,3,-2,0,-2,0,10,4,-1,1
1,6,2,-18,-118,-29,-4,-4,-1,-1,-5,5,3,-1,0,-5
-4,-7,-23,-14,11,3,1,-1,3,5,11,14,-23,3,3,1
-1,-2,-8,-14,9,-7,0,-1,-1,-6,-4,-35,2,0,3,0
-1,-5,-1,-22,30,-6,-2,-3,1,4,10,14,0,-3,0,0
-3,3,4,75,-34,-5,2,1,-2,0,6,4,-3,-4,0,2
0,-4,-5,-3,-4,-3,2,0,2,5,4,10,1,3,2,1
-4,0,-5,1,12,0,-3,0,-2,-3,-5,-20,-18,0,-1,-1
-1,2,15,-20,1,-2,3,-1,-5,-4,-6,-9,50,8,0,-4
-6,-5,-6,20,14,8,-3,-1,5,5,12,13,-29,-11,-1,1
0,5,13,39,37,3,-3,1,1,0,1,13,-43,-6,-1,-1
-4,-14,-19,5,-7,-6,0,0,1,1,-9,-14,0,-3,1,-1
-2,0,2,-3,-11,7,1,0,1,2,-4,-11,1,-1,-3,-6
4,3,4,1,-34,-3,1,1,1,0,4,-4,-32,-4,5,2
-6,1,0,-21,-32,-13,-4,-3,-3,3,14,5,-1,-9,-3,0
1,2,-1,-39,-1,3,-1,3,-6,-10,-33,0,12,1,-1,0
-5,-2,-2,-7,21,0,-4,-3,-9,-9,-12,-9,10,38,-1,-6
-4,0,-2,-12,1,-2,-1,-3,0,1,6,17,-23,-7,0,0
3,0,-3,-6,6,10,4,1,-1,-4,6,26,-4,2,1,3
-1,-4,-4,-3,1,-4,-1,-1,-3,-1,-5,-8,13,5,-1,-1
3,7,7,-13,127,16,0,2,-3,-1,1,1,-36,3,-1,1
-5,-16,-21,-62,-21,1,-1,-3,-2,-2,-4,-10,2,0,-5,-1
2,-5,-17,47,17,-5,0,1,-3,-2,3,17,-10,-6,-4,0
2,0,11,-8,13,-14,-3,3,-3,0,2,13,0,-4,-4,-1
-5,-4,-2,9,24,3,-2,-2,0,3,9,19,1,-5,8,0
-1,1,-1,11,-30,-7,-6,-1,-3,3,5,-8,10,1,0,-2
-1,-3,-2,26,12,6,1,1,-2,2,-3,-7,7,2,0,-2
0,6,22,5,86,10,4,-1,3,1,-1,-2,10,2,-1,-1
-3,1,4,39,26,0,-5,1,-1,2,13,16,-10,-15,-2,-1
-2,-4,-4,44,27,7,0,-1,-4,-7,-35,-13,10,3,1,0
1,-1,-4,-5,1,16,2,-2,-3,-5,-1,-13,8,-1,-1,-2
-1,0,2,10,-24,-6,-4,-4,-2,2,3,-111,-10,-2,-3,1
-1,0,-3,-2,-44,-6,0,0,0,0,1,-30,-2,0,1,-2
-4,-1,-4,-6,-7,-2,4,3,0,-4,-6,-7,1,5,-1,-1
-3,1,-5,-24,-44,-22,-7,-3,0,2,2,-2,5,-6,-6,0
0,3,7,19,14,13,9,1,-3,-4,-2,1,9,8,1,-3
1,-2,1,6,-5,-9,-4,-6,1,2,2,9,-51,-19,-5,-3
-5,-7,-14,-63,-6,-4,-7,-5,-7,-10,-9,-15,6,9,-6,-2
4,2,11,76,16,10,5,4,-2,-9,-3,-10,-15,1,1,1
6,9,19,18,14,6,4,3,-1,0,1,-4,22,4,-3,-2
-1,-1,-5,-8,-50,-6,-1,1,0,-3,0,-12,10,-3,-5,-1
-1,-1,-8,19,-10,-6,0,-3,-4,-5,-9,-24,39,3,-1,0
-1,5,11,-8,5,9,0,0,-3,-2,-3,-2,-40,-4,-3,-2
-1,-4,-4,-8,-7,-3,1,-1,0,0,4,1,-8,-7,-4,-3
-3,-5,-7,-1,6,-8,-1,-1,0,-4,-10,-9,-47,-5,1,2
-3,0,9,-16,-17,-1,-2,-4,1,1,2,-14,3,-9,-4,0
-2,-4,-3,6,7,8,3,-4,2,-1,2,-3,-19,1,-4,-1
-2,-4,0,6,-8,-5,-2,0,-3,3,0,3,1,5,0,3
-6,0,11,40,47,13,0,-2,1,1,-3,7,9,-8,2,-2
0,0,-11,1,-3,3,-1,0,-3,3,16,1,-25,2,-3,-1
-2,-2,-8,16,-26,-12,-1,-2,-1,-3,-3,-12,53,6,1,-2
1,2,8,21,59,6,-2,-2,1,-1,-4,-7,-27,-16,-1,5
2,-3,-2,-35,-3,6,0,-1,-4,0,4,-7,2,9,0,0
-3,1,-1,79,39,-1,-1,-1,-3,-2,-1,-9,3,0,-3,1
4,4,11,-6,-21,11,1,1,2,1,0,-9,-13,-3,-1,2
0,1,-1,-11,-30,-15,-4,-4,-1,-1,0,-6,12,3,0,-1
1,1,-1,29,-41,2,0,-1,-5,-16,-14,-2,40,6,1,-2
1,1,8,22,-10,-11,0,-1,-1,0,0,1,5,-2,2,-1
-1,-1,2,22,5,0,1,-1,2,3,-2,-9,1,5,1,1
0,2,-6,-32,-6,1,-1,-3,0,-2,4,-23,9,2,2,0
2,6,2,-19,51,3,3,0,-2,-7,5,12,-11,2,-1,-2
-3,-2,-11,10,76,-2,-8,-4,-1,-5,-6,-7,0,1,-2,-3
-1,1,-3,-112,-78,-52,-13,-5,-2,-3,-6,-6,6,1,0,3
2,1,14,73,34,10,8,4,-4,-1,1,-3,23,-7,-4,-3
0,1,-3,-5,-5,-7,0,2,0,-5,-9,-13,5,9,2,0
-4,1,3,-1,3,-4,-1,-3,-7,-3,0,-10,2,-1,-2,-1
-1,-3,-8,11,28,4,-1,0,-1,-2,1,-7,0,0,1,-3
0,-2,-28,-106,-3,6,0,-1,0,-3,-4,-2,0,5,0,3
1,1,-1,-4,0,-3,-2,-3,-1,0,26,116,38,8,3,0
-2,-3,-6,-4,2,2,1,2,1,0,-1,-9,-1,7,1,2
-1,0,1,-1,-2,-4,-4,1,1,4,-2,-9,1,-4,-2,0
5,6,12,13,-31,-1,0,2,-4,1,2,-3,-6,-9,-3,-5
-2,-1,0,-4,1,1,0,-1,-1,3,1,-4,7,24,4,1
-5,0,1,4,9,1,0,-1,1,4,18,33,-5,-23,-4,-3
1,3,0,21,20,15,1,2,-1,-5,-16,-39,-22,0,0,0
0,0,3,5,23,-10,2,-4,-4,-1,3,-4,6,1,2,1
-1,1,-3,-2,31,-1,-3,-1,-3,-15,-15,-6,-16,-14,-11,-5
-3,-2,-5,-12,-5,6,0,-3,-1,1,-5,-13,-10,-14,-5,-1
-1,2,10,19,7,-4,2,1,0,-2,-3,-12,8,9,4,-1
1,4,-13,-39,-45,-5,-1,1,1,1,6,4,20,2,0,1
