-9,-30,-65,-27,72,51,2,-14,handOpen
0,6,21,-39,-26,-65,-32,3,handOpen
50,18,41,-25,41,127,77,104,handOpen
-14,18,-4,83,-104,6,-42,-18,handOpen
-14,-23,-39,-79,-46,-40,-29,-15,handOpen
13,-1,36,111,127,-4,-5,-3,handOpen
-9,-8,-23,-37,-73,16,-30,21,handOpen
-9,2,-14,22,52,69,8,2,handOpen
-10,-1,-4,-39,-46,-20,-119,-15,handOpen
-9,-7,-12,-39,-36,-21,20,-15,handOpen
-5,16,3,-29,-53,-62,-3,-21,handOpen
0,-10,-56,35,-3,-14,-25,-3,handOpen
-27,-20,23,18,17,-11,-128,-94,handOpen
18,30,48,99,35,9,101,31,handOpen
-6,17,-3,-13,-4,26,-1,-1,handOpen
-1,-5,-1,-15,-11,-13,-21,-11,handOpen
-8,1,0,32,51,8,-12,-11,handOpen
8,-4,15,18,65,-31,13,5,handOpen
-1,-2,-6,-33,8,-6,-15,-2,handOpen
-1,18,5,50,31,-17,-5,-3,handOpen
3,1,-27,9,-27,31,7,0,handOpen
-4,-15,39,60,70,25,-8,-4,handOpen
-3,-8,13,-18,-50,-27,15,6,handOpen
2,8,-2,3,-78,-37,47,27,handOpen
-7,20,14,-54,-62,17,10,12,handOpen
-13,-37,-118,-95,-47,-21,-8,-12,handOpen
-5,6,23,41,-17,-103,-75,-35,handOpen
-2,17,-4,50,-98,120,-58,-21,handOpen
-7,10,-34,-83,-69,-27,-7,-11,handOpen
-20,-22,1,-17,-72,-66,-12,-11,handOpen
20,16,48,83,-29,62,19,8,handOpen
-3,2,-14,-1,-25,55,54,1,handOpen
-19,-5,-14,-8,-30,-52,-55,-22,handOpen
3,-6,-6,-18,-44,-45,4,12,handOpen
18,18,63,69,127,83,60,29,handOpen
-2,-21,-73,-31,9,-3,-6,-6,handOpen
-7,-1,15,-2,51,-44,-59,-29,handOpen
5,1,-11,17,-2,-24,12,65,handOpen
-3,-13,-6,-78,-92,10,12,5,handOpen
-3,18,2,16,18,4,13,-20,handOpen
-3,1,4,60,48,-10,-16,-8,handOpen
-4,-11,-1,28,62,26,-1,-8,handOpen
-3,6,-23,36,-3,-12,1,-6,handOpen
-6,-11,14,-4,-26,-31,-17,-7,handOpen
16,5,8,13,54,-1,127,65,handOpen
20,-17,10,22,121,127,81,50,handOpen
7,31,12,-39,-10,5,8,15,handOpen
-6,-19,0,-25,-4,-32,-19,0,handOpen
-4,-24,-20,10,-22,-38,-24,-10,handOpen
10,-1,7,-5,-11,-19,-65,13,handOpen
9,7,11,63,58,82,109,15,handOpen
9,0,4,-77,6,-11,17,21,handOpen
-9,1,-4,-5,-43,-13,-59,-8,handOpen
-1,-8,6,55,-35,-49,-51,-20,handOpen
-8,9,-22,-9,19,127,-82,-45,handOpen
11,4,2,-33,74,-25,11,15,handOpen
-21,-2,-1,-26,-128,-62,-28,-12,handOpen
-1,5,-44,70,70,29,8,1,handOpen
-3,-23,27,46,27,-5,-10,1,handOpen
2,-6,3,-53,-22,-20,12,-4,handOpen
20,7,42,94,108,47,24,-24,handOpen
3,-7,-20,-96,-58,4,2,36,handOpen
10,10,0,-34,-31,-11,71,46,handOpen
-8,3,-24,-1,-32,-7,-13,-2,handOpen
-7,-15,-31,-32,18,14,0,-17,handOpen
8,3,17,-20,12,-28,-15,17,handOpen
17,3,33,120,97,38,-84,6,handOpen
6,23,9,12,-38,37,127,22,handOpen
-7,-6,-22,-111,-84,-47,-34,-7,handOpen
-16,-7,13,51,-4,-82,-40,-21,handOpen
-8,-21,-20,-39,4,28,9,-16,handOpen
1,-12,-16,-67,-85,-30,5,-13,handOpen
-12,16,-7,-96,-48,-27,13,4,handOpen
9,-20,-1,-8,-36,-13,127,1,handOpen
16,9,24,108,127,80,102,83,handOpen
-15,-2,-23,-51,-75,-26,-18,-12,handOpen
1,0,11,21,3,-37,-1,-8,handOpen
1,-19,-56,-13,-33,6,-1,-4,handOpen
4,-6,3,-4,101,24,7,7,handOpen
-7,10,6,4,-73,23,-5,-4,handOpen
-8,-5,13,-2,14,7,-1,-5,handRelax
-1,5,3,3,-13,-4,-2,-4,handRelax
2,-9,2,-3,1,-5,4,1,handRelax
3,-1,-4,1,-5,-8,-2,-5,handRelax
-1,4,0,1,-1,11,1,2,handRelax
0,-3,3,4,23,6,1,2,handRelax
2,-7,-2,2,0,-1,-3,-2,handRelax
